1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0.1808,0.17685,0.17783,0.18903,0.17457,0.17527,0.19555,0.18232,0.18971,0.18399,0.18322,0.17941,0.18595,0.17374,0.17058,0.16626,0.17814,0.17354,0.20431,0.16969,0.16145,0.16569,0.16808,0.15808,0.15281,0.15026,0.16477,0.15575,0.15188,0.13946,0.16205,0.15565,0.15854,0.17238,0.14288,0.15801,0.16108,0.14784,0.17468,0.16366,0.16214,0.18126,0.17586,0.21149,0.14462,0.18039,0.1621,0.17773,0.1719,0.17843,0.15374,0.16879,0.18588,0.17492,0.18976,0.20424,0.16469,0.17587,0.15876,0.15868,0.1567,0.15598,0.16712,0.15715,0.16807,0.1585,0.16384,0.16414,0.17414,0.15204,0.16208,0.1594,0.16259,0.15475,0.16225,0.155,0.17794,0.17385,0.15579,0.16319,0.14155,0.15055,0.16821,0.17296,0.16642,0.15168,0.14125,0.14191,0.15009,0.14094,0.14787,0.13485,0.13476,0.12239,0.11512,0.15441,0.11271,0.11803,0.11494,0.11723,0.11813,0.13641,0.1548,0.13013,0.12768,0.1192,0.0897,0.10069,0.08941,0.09363,0.10002,0.0871,0.09581,0.09853,0.08284,0.07835,0.08066,0.07688,0.07396,0.07075,0.07058,0.06922,0.06973,0.06776,0.09129,0.07528,0.07787,0.08185,0.08308,0.11289,0.08094,0.07111,0.05573,0.05968,0.05139,0.04942,0.04484,0.04126,0.04063,0.03817,0.0358,0.03347,0.03106,0.02947,0.0271,0.02576,0.02537,0.02567,0.02329,0.02165,0.0216,0.02038,0.02028,0.01961,0.01819,0.01741,0.01602,0.01532,0.0143,0.01349,0.01256,0.01185,0.0108,0.01034,0.01046,0.00993,0.00956,0.00895,0.00846,0.00846,0.00818,0.00787,0.00794,0.00759,0.00741,0.00732,0.00683,0.0064,0.00597,0.00498,0.00484,0.00477,0.00471,0.00442,0.00458,0.00454,0.00415,0.0041,0.004,0.00369,0.0038,0.00367,0.00372,0.00376,0.00359,0.00337,0.00345,0.00355,0.00342
0.04562,0.05265,0.05934,0.06446,0.05558,0.05498,0.05832,0.05524,0.06017,0.06229,0.05985,0.05215,0.06624,0.05582,0.05607,0.05678,0.05964,0.05796,0.07172,0.05388,0.04709,0.05347,0.06075,0.05503,0.05281,0.054,0.05207,0.0566,0.04917,0.04699,0.05377,0.05041,0.05445,0.06731,0.04693,0.05099,0.05103,0.04735,0.06333,0.05817,0.05283,0.05309,0.05453,0.07303,0.04759,0.05479,0.04693,0.05054,0.04774,0.05418,0.04831,0.0469,0.05366,0.05076,0.05813,0.07393,0.04604,0.04716,0.04021,0.04242,0.03987,0.03949,0.04249,0.03976,0.04577,0.04276,0.04253,0.04314,0.04464,0.04794,0.04905,0.04211,0.04752,0.04403,0.05354,0.04531,0.04562,0.04742,0.04351,0.04321,0.0369,0.03255,0.03623,0.03556,0.03359,0.03048,0.03076,0.02933,0.03048,0.02838,0.03092,0.02969,0.02892,0.0274,0.02754,0.03424,0.02612,0.02803,0.02504,0.02994,0.0292,0.02828,0.0426,0.02975,0.02355,0.02343,0.01675,0.02143,0.01811,0.02149,0.02198,0.01855,0.02055,0.02034,0.01611,0.01605,0.01622,0.01414,0.01427,0.01274,0.01342,0.01289,0.01211,0.01078,0.01584,0.0116,0.01097,0.01138,0.01214,0.01498,0.00961,0.00731,0.00541,0.00648,0.00497,0.00556,0.00555,0.00419,0.00413,0.00414,0.00321,0.00355,0.00304,0.00286,0.00236,0.00226,0.00236,0.00209,0.00179,0.00158,0.0016,0.0015,0.0015,0.00145,0.00131,0.00128,0.00117,0.00116,0.00113,0.00102,0.00103,0.00095,0.00097,0.00084,0.00091,0.00087,0.0008,0.00084,0.00071,0.00075,0.00066,0.00065,0.00069,0.00065,0.0006,0.00066,0.00054,0.00056,0.00049,0.00052,0.00046,0.00045,0.00035,0.00041,0.00042,0.00039,0.00036,0.00039,0.00034,0.00031,0.00033,0.00032,0.00031,0.00029,0.00029,0.00029,0.00027,0.00025,0.00027
0.03355,0.03801,0.04069,0.04486,0.03925,0.0407,0.04142,0.03759,0.0427,0.04447,0.04441,0.03725,0.04542,0.03943,0.04003,0.04195,0.04246,0.03922,0.05038,0.03841,0.0346,0.0383,0.04162,0.03878,0.03767,0.03953,0.03709,0.03915,0.0348,0.03335,0.03936,0.03544,0.03632,0.04646,0.03275,0.03697,0.03657,0.03287,0.04477,0.04089,0.03831,0.03795,0.03777,0.05207,0.0341,0.04109,0.0336,0.03435,0.03362,0.03852,0.03552,0.03354,0.03687,0.03541,0.04055,0.05374,0.03103,0.03221,0.02995,0.03085,0.02983,0.02803,0.02863,0.02752,0.03187,0.03068,0.03012,0.02942,0.03136,0.02641,0.02609,0.02922,0.02338,0.02276,0.02676,0.02497,0.02199,0.02256,0.02073,0.01843,0.01839,0.01798,0.01921,0.02013,0.01855,0.01786,0.01729,0.01672,0.01574,0.0151,0.01607,0.01343,0.01205,0.01186,0.01199,0.01283,0.01177,0.01131,0.01073,0.01383,0.01265,0.01389,0.01949,0.01429,0.01187,0.00854,0.00811,0.00791,0.00731,0.00833,0.00821,0.00772,0.0071,0.00768,0.00642,0.00624,0.00601,0.00582,0.00564,0.00495,0.00503,0.0048,0.00472,0.00424,0.00553,0.00468,0.00472,0.00498,0.00565,0.00571,0.00382,0.00283,0.00236,0.00233,0.00184,0.00182,0.00183,0.00176,0.00158,0.00142,0.00136,0.00139,0.00119,0.00118,0.00111,0.001,0.00097,0.001,0.00095,0.00087,0.00083,0.00083,0.00077,0.00085,0.00074,0.00079,0.00076,0.00077,0.0008,0.00071,0.00061,0.00063,0.00061,0.00056,0.00058,0.00053,0.00053,0.00056,0.00049,0.00042,0.00045,0.0004,0.0004,0.00037,0.0004,0.00038,0.00034,0.0003,0.00028,0.00027,0.00029,0.00026,0.00027,0.00023,0.00023,0.00027,0.00026,0.00025,0.0002,0.0002,0.0002,0.0002,0.00018,0.00021,0.00017,0.00016,0.00017,0.00018,0.00016
0.02277,0.02671,0.028,0.02961,0.02642,0.02771,0.02896,0.02551,0.02799,0.03019,0.03033,0.02616,0.03102,0.02593,0.027,0.02851,0.02973,0.02677,0.03307,0.02584,0.02343,0.02647,0.02828,0.0255,0.02538,0.02681,0.02566,0.0266,0.02304,0.02248,0.0265,0.02437,0.0244,0.03011,0.02154,0.02465,0.02523,0.02238,0.0297,0.02754,0.0256,0.02582,0.02568,0.03469,0.02309,0.02808,0.02372,0.02327,0.0217,0.02549,0.02385,0.02318,0.02493,0.02325,0.02703,0.03595,0.02122,0.02088,0.01931,0.02142,0.02043,0.01945,0.01922,0.01767,0.02094,0.02041,0.02053,0.01984,0.02036,0.01977,0.0194,0.01993,0.01606,0.01472,0.01753,0.01708,0.01347,0.01429,0.01282,0.01054,0.01101,0.01122,0.01175,0.01302,0.01176,0.01127,0.011,0.01031,0.00974,0.00964,0.00982,0.0089,0.00824,0.00804,0.00754,0.00782,0.008,0.00752,0.00662,0.009,0.00802,0.00798,0.01298,0.00776,0.00746,0.00596,0.00486,0.00538,0.0046,0.00515,0.00521,0.00482,0.00456,0.00473,0.00413,0.00402,0.00382,0.0037,0.00394,0.0035,0.00324,0.0032,0.00305,0.00273,0.00388,0.00303,0.00319,0.0039,0.00477,0.00383,0.00268,0.00189,0.00155,0.0016,0.00126,0.0013,0.00113,0.00103,0.00091,0.00097,0.0009,0.0009,0.00077,0.0008,0.0007,0.00071,0.00074,0.00069,0.00069,0.00065,0.00059,0.00061,0.0006,0.0006,0.00061,0.0006,0.00059,0.0006,0.00058,0.00053,0.00047,0.00054,0.00052,0.00042,0.00049,0.0005,0.00039,0.00042,0.00037,0.00038,0.00036,0.00033,0.00033,0.00035,0.00029,0.00027,0.00025,0.00027,0.00023,0.00024,0.00019,0.00023,0.0002,0.00022,0.00019,0.00022,0.00018,0.00017,0.00018,0.00015,0.00015,0.00014,0.00017,0.00015,0.00013,0.00011,0.00014,0.00014,0.00011
0.01591,0.0187,0.02001,0.02121,0.01847,0.01936,0.02025,0.01843,0.01952,0.0206,0.0214,0.01855,0.02198,0.01829,0.0184,0.01964,0.02128,0.01936,0.02324,0.01785,0.01613,0.01808,0.01959,0.01769,0.01754,0.0185,0.01779,0.01849,0.01603,0.01536,0.01782,0.0167,0.01706,0.02092,0.0147,0.01677,0.01713,0.01544,0.02034,0.01867,0.01737,0.01742,0.01776,0.0237,0.01572,0.01878,0.01608,0.01604,0.01462,0.01641,0.01579,0.01549,0.01701,0.0158,0.01821,0.02447,0.01419,0.01417,0.01268,0.01373,0.0138,0.01335,0.01321,0.01191,0.01351,0.01338,0.01362,0.01345,0.01386,0.01557,0.01628,0.01325,0.01293,0.01156,0.01286,0.01256,0.01119,0.01204,0.01127,0.00975,0.00919,0.00804,0.00874,0.0096,0.00903,0.00863,0.00821,0.00742,0.00696,0.00716,0.00713,0.00655,0.00621,0.00596,0.00533,0.00583,0.00589,0.00572,0.00508,0.00665,0.00611,0.00611,0.00967,0.00649,0.0052,0.00457,0.00393,0.00357,0.0036,0.00382,0.0039,0.00425,0.00347,0.00373,0.00325,0.00324,0.00297,0.00289,0.00291,0.00263,0.00253,0.00249,0.00241,0.00223,0.00281,0.00264,0.00258,0.00309,0.00364,0.00297,0.00225,0.00142,0.00113,0.00114,0.00098,0.00094,0.00088,0.00085,0.00075,0.00073,0.00072,0.00071,0.00063,0.00069,0.00057,0.00059,0.00058,0.00054,0.00052,0.00053,0.00049,0.00049,0.00054,0.00053,0.00054,0.0005,0.00048,0.00051,0.00051,0.00045,0.00043,0.00044,0.00043,0.00042,0.00038,0.00042,0.00032,0.00037,0.00034,0.00028,0.00033,0.00028,0.00027,0.00025,0.00024,0.00026,0.00023,0.00022,0.00018,0.0002,0.00019,0.00018,0.00014,0.00013,0.00015,0.00017,0.00014,0.00016,0.00012,0.00013,0.00012,0.00012,0.00012,0.0001,0.00009,0.00009,0.00011,0.00011,0.00009
0.01364,0.0152,0.01626,0.01798,0.0159,0.0161,0.01652,0.01544,0.01604,0.01687,0.01773,0.01555,0.01761,0.01513,0.01498,0.01573,0.01815,0.01627,0.01921,0.01489,0.01287,0.01414,0.01519,0.01411,0.01449,0.01486,0.01437,0.01447,0.01284,0.01239,0.01363,0.01322,0.01362,0.01703,0.01205,0.01335,0.0134,0.01179,0.0156,0.01478,0.01366,0.01362,0.01402,0.01811,0.01225,0.01386,0.01213,0.01177,0.01105,0.01214,0.01174,0.01127,0.0126,0.01189,0.01423,0.01935,0.01079,0.01056,0.00945,0.01015,0.01036,0.01029,0.01009,0.00919,0.01007,0.0101,0.01034,0.00999,0.01049,0.01145,0.01195,0.00985,0.0097,0.00869,0.00943,0.00921,0.00869,0.00912,0.00861,0.00762,0.00713,0.00611,0.00615,0.00682,0.0065,0.00646,0.00601,0.0057,0.00519,0.00531,0.00537,0.00515,0.00495,0.00473,0.00419,0.00441,0.00468,0.00439,0.00416,0.00539,0.00482,0.0048,0.00775,0.00482,0.0046,0.00352,0.00308,0.0031,0.00261,0.00331,0.00319,0.00292,0.00304,0.00315,0.00282,0.00263,0.00272,0.00251,0.00248,0.00226,0.00226,0.0021,0.00207,0.00188,0.00251,0.00215,0.00213,0.00276,0.00364,0.00263,0.00165,0.00123,0.00096,0.00092,0.00082,0.00081,0.00074,0.00072,0.00057,0.00055,0.00056,0.00057,0.00049,0.00058,0.0005,0.00048,0.0005,0.00053,0.00049,0.00048,0.00049,0.00042,0.0005,0.00046,0.00049,0.00047,0.00048,0.00046,0.00041,0.00036,0.00039,0.00039,0.00037,0.00035,0.0004,0.00032,0.00037,0.00036,0.0003,0.00026,0.00026,0.00028,0.00025,0.00022,0.0002,0.00021,0.00022,0.0002,0.00019,0.00018,0.00015,0.00015,0.00017,0.00017,0.00013,0.00013,0.00012,0.00012,0.0001,0.00011,0.00011,0.00009,0.0001,0.00011,0.00009,0.0001,0.00008,0.00013,0.00008
0.01179,0.01279,0.01372,0.01569,0.01417,0.01392,0.01397,0.01347,0.01356,0.01435,0.01529,0.01346,0.01464,0.0129,0.01256,0.01307,0.01612,0.01427,0.01636,0.01291,0.01068,0.01142,0.01224,0.01164,0.01236,0.01237,0.01213,0.0118,0.01061,0.01026,0.01068,0.01089,0.01138,0.0144,0.01024,0.01115,0.01105,0.00937,0.01216,0.01197,0.01118,0.0112,0.01167,0.01426,0.00967,0.01017,0.00935,0.00879,0.00837,0.00915,0.00909,0.00827,0.00931,0.00913,0.01127,0.01605,0.00864,0.00815,0.00714,0.00762,0.00766,0.00773,0.00789,0.0074,0.0078,0.00796,0.00816,0.00773,0.00805,0.00778,0.00783,0.00732,0.00718,0.00637,0.0069,0.00669,0.00637,0.00669,0.00622,0.00535,0.00515,0.00483,0.00482,0.00556,0.00551,0.00524,0.00488,0.00474,0.00422,0.0042,0.00442,0.00411,0.00385,0.00385,0.00346,0.00349,0.00363,0.00348,0.0035,0.00443,0.00392,0.00383,0.00639,0.00407,0.00363,0.00342,0.00224,0.00274,0.00243,0.00258,0.00287,0.00219,0.00257,0.00272,0.00231,0.00222,0.00218,0.00216,0.00213,0.00191,0.00186,0.00192,0.00186,0.00168,0.00219,0.00182,0.00188,0.00242,0.00339,0.00234,0.00159,0.00105,0.00089,0.00083,0.00074,0.00062,0.00052,0.00054,0.00052,0.00048,0.0005,0.00051,0.00048,0.00049,0.00039,0.00043,0.00047,0.00043,0.00041,0.00042,0.00041,0.00041,0.0004,0.00046,0.00043,0.00047,0.00042,0.00044,0.00038,0.00039,0.00036,0.00038,0.00034,0.00035,0.0003,0.00031,0.00028,0.00031,0.00027,0.00027,0.00024,0.00024,0.00021,0.00024,0.00021,0.00023,0.00018,0.00015,0.00017,0.00017,0.00016,0.00014,0.00013,0.00014,0.00013,0.00014,0.00013,0.00012,0.00011,0.00011,0.0001,0.00009,0.0001,0.0001,0.0001,0.00009,0.00008,0.00008,0.00008
0.01011,0.01066,0.01144,0.01351,0.01241,0.01191,0.01174,0.01161,0.01133,0.01206,0.01314,0.01151,0.01195,0.0109,0.01045,0.01078,0.01406,0.01235,0.01383,0.01107,0.00883,0.00917,0.00977,0.00959,0.01052,0.01023,0.01013,0.00957,0.00878,0.00848,0.00834,0.00896,0.00949,0.01217,0.00868,0.00926,0.00912,0.00758,0.00958,0.00968,0.00913,0.00925,0.00976,0.01134,0.0077,0.00738,0.00711,0.00649,0.00633,0.00679,0.00709,0.00609,0.00675,0.00697,0.00894,0.01325,0.00698,0.0064,0.00542,0.00569,0.00576,0.00573,0.00584,0.0059,0.00615,0.00641,0.00648,0.00599,0.00625,0.00508,0.00482,0.00539,0.00514,0.00462,0.00505,0.00494,0.00468,0.00474,0.00447,0.00377,0.00379,0.00422,0.00433,0.00463,0.00474,0.0045,0.00424,0.00406,0.00371,0.00378,0.00369,0.00352,0.00327,0.00316,0.00303,0.00305,0.0029,0.00296,0.00305,0.00378,0.0034,0.00332,0.00536,0.00345,0.00315,0.00271,0.00243,0.00211,0.00205,0.00223,0.00218,0.00268,0.00233,0.00224,0.00217,0.00198,0.00195,0.00193,0.00182,0.00179,0.0016,0.00156,0.00159,0.00142,0.00198,0.00177,0.00157,0.00243,0.0031,0.00198,0.0012,0.001,0.0007,0.00078,0.00061,0.00059,0.00049,0.00046,0.00042,0.0004,0.00043,0.00046,0.00037,0.00042,0.0004,0.00039,0.0004,0.00039,0.00035,0.00038,0.00037,0.00036,0.00036,0.00037,0.00041,0.00039,0.00039,0.00036,0.00038,0.00038,0.00032,0.00033,0.00035,0.00029,0.00035,0.00031,0.00028,0.00027,0.00025,0.00026,0.00024,0.00024,0.00019,0.00019,0.00017,0.00017,0.00017,0.00016,0.00017,0.00017,0.00014,0.00014,0.00013,0.00011,0.00013,0.0001,0.00012,0.00012,0.00008,0.00009,0.00008,0.00009,0.00007,0.00008,0.00008,0.00008,0.00007,0.00009,0.00008
0.0086,0.00887,0.00948,0.01143,0.01065,0.00999,0.00979,0.00988,0.00943,0.01001,0.01113,0.00979,0.00971,0.00911,0.00868,0.00888,0.01202,0.0105,0.01163,0.00944,0.0073,0.00747,0.00788,0.00794,0.00898,0.00851,0.00845,0.00778,0.0073,0.00711,0.00668,0.00744,0.00797,0.01031,0.00739,0.00772,0.00757,0.00631,0.0079,0.00813,0.00759,0.00776,0.00824,0.00924,0.00634,0.00557,0.00551,0.00491,0.00497,0.00526,0.00571,0.00466,0.00507,0.0054,0.0072,0.0111,0.00571,0.00523,0.00434,0.00445,0.00449,0.00446,0.00444,0.00463,0.00489,0.00532,0.00529,0.0048,0.00496,0.00348,0.00315,0.0042,0.00383,0.00343,0.0038,0.00385,0.00363,0.00353,0.00325,0.00279,0.00293,0.00356,0.00377,0.00414,0.00419,0.00391,0.00368,0.0035,0.00336,0.00328,0.00321,0.00311,0.00285,0.00287,0.00265,0.0027,0.00264,0.00255,0.00261,0.00334,0.00295,0.0028,0.00481,0.00306,0.00274,0.00246,0.00195,0.002,0.00173,0.00194,0.00217,0.00184,0.0021,0.00207,0.00189,0.00174,0.00173,0.00175,0.00169,0.00152,0.00143,0.00135,0.00147,0.00127,0.00179,0.00151,0.00149,0.00211,0.00321,0.00195,0.00112,0.00089,0.00077,0.00066,0.0006,0.00052,0.00052,0.00041,0.00038,0.00037,0.00038,0.00042,0.00034,0.00041,0.00036,0.00038,0.00037,0.00037,0.00032,0.00034,0.00034,0.00038,0.00035,0.00037,0.00035,0.00035,0.00033,0.00039,0.00035,0.00033,0.00032,0.00033,0.0003,0.00033,0.00028,0.00029,0.00026,0.00028,0.00023,0.00023,0.00026,0.00021,0.0002,0.00018,0.00017,0.00019,0.00017,0.0002,0.00017,0.00014,0.00016,0.00013,0.00013,0.00014,0.00012,0.0001,0.00011,0.00009,0.00009,0.0001,0.00008,0.0001,0.00008,0.00009,0.00008,0.00007,0.00007,0.00008,0.00008
0.00732,0.00744,0.0079,0.00949,0.0089,0.00825,0.00814,0.00821,0.00785,0.00831,0.00931,0.00824,0.00799,0.00759,0.00726,0.00744,0.01006,0.00878,0.00975,0.00803,0.00617,0.00633,0.00663,0.00673,0.00768,0.00724,0.0072,0.00651,0.00616,0.00612,0.00576,0.00641,0.00684,0.00883,0.00633,0.00654,0.00645,0.00557,0.00701,0.00732,0.00665,0.00672,0.00705,0.00789,0.00553,0.00477,0.00469,0.00414,0.00428,0.0046,0.00494,0.00391,0.00423,0.00462,0.00611,0.00964,0.00495,0.00458,0.00384,0.00392,0.00386,0.00379,0.00376,0.00395,0.00406,0.00462,0.00466,0.00418,0.00424,0.00287,0.00263,0.00364,0.00327,0.00296,0.00316,0.00325,0.00311,0.00301,0.00272,0.00235,0.00253,0.00309,0.00357,0.00366,0.00366,0.00366,0.00311,0.00317,0.00297,0.00301,0.003,0.00286,0.00256,0.00255,0.00238,0.00254,0.00249,0.00234,0.00243,0.00286,0.00267,0.00269,0.00472,0.00296,0.00249,0.00221,0.00195,0.00174,0.00188,0.00169,0.002,0.00176,0.00177,0.002,0.00165,0.00174,0.00169,0.0016,0.00158,0.00143,0.0013,0.00136,0.00121,0.00122,0.00172,0.00134,0.00129,0.00199,0.0032,0.0018,0.00103,0.00085,0.00067,0.00066,0.00054,0.00047,0.00046,0.00043,0.0004,0.00034,0.00036,0.00036,0.00034,0.00036,0.00033,0.00032,0.00033,0.00031,0.00034,0.00033,0.00031,0.00033,0.00034,0.00034,0.00032,0.00035,0.00034,0.00031,0.00031,0.00032,0.00028,0.00028,0.00031,0.00025,0.00028,0.00027,0.00024,0.00024,0.00027,0.0002,0.00021,0.00019,0.0002,0.0002,0.00018,0.00017,0.00015,0.00016,0.00013,0.00014,0.00013,0.00015,0.00013,0.00011,0.00014,0.0001,0.00014,0.0001,0.00008,0.00008,0.00009,0.00008,0.00007,0.00007,0.00008,0.00007,0.00007,0.00008,0.00008
