Age,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
0,0.074886,0.074509,0.057717,0.055149,0.055701,0.050063,0.048162,0.042256,0.039236,0.038502,0.034089,0.035266,0.039453,0.035636,0.033209,0.030759,0.028635,0.029873,0.02888,0.02907,0.027797,0.026347,0.026045,0.02512,0.025283,0.023804,0.023027,0.021768,0.020985,0.021204,0.020628,0.020034,0.01939,0.018333,0.017289,0.01605,0.015019,0.013127,0.01226,0.010023,0.009448,0.00876,0.008069
1,0.004888,0.005043,0.003507,0.003642,0.00319,0.003104,0.002874,0.002497,0.002336,0.002217,0.001973,0.001988,0.00189,0.002001,0.001657,0.001532,0.00134,0.001518,0.001243,0.001311,0.001356,0.001226,0.001224,0.001192,0.001153,0.001169,0.00108,0.001081,0.001084,0.001056,0.001074,0.001071,0.001044,0.000913,0.000877,0.000736,0.000847,0.000734,0.000681,0.00053,0.000528,0.00061,0.000557
2,0.001888,0.00191,0.001562,0.001494,0.001491,0.001351,0.001209,0.001144,0.001092,0.001183,0.001079,0.001014,0.000968,0.00095,0.000877,0.000916,0.000836,0.000856,0.000782,0.000775,0.000717,0.000705,0.000796,0.000674,0.00065,0.000606,0.000647,0.0006,0.000619,0.000523,0.000549,0.000642,0.000629,0.000496,0.000521,0.000477,0.000468,0.00044,0.00043,0.000458,0.000346,0.000368,0.000284
3,0.00133,0.001296,0.000955,0.001014,0.000966,0.000986,0.00081,0.000835,0.000862,0.000838,0.000764,0.000733,0.00077,0.00076,0.000724,0.000757,0.000581,0.000651,0.000571,0.00058,0.000663,0.000576,0.000602,0.000564,0.000491,0.000493,0.000499,0.000529,0.000405,0.00045,0.000401,0.00046,0.000467,0.000428,0.000436,0.000358,0.000366,0.000272,0.000329,0.000308,0.00029,0.000289,0.000222
4,0.000965,0.00104,0.000808,0.000798,0.000735,0.000831,0.000683,0.000721,0.000657,0.000687,0.000634,0.00058,0.000599,0.000626,0.000643,0.00052,0.000579,0.000602,0.000483,0.000537,0.000509,0.000467,0.000559,0.000479,0.000411,0.000381,0.000418,0.000348,0.000381,0.000348,0.000284,0.000348,0.000357,0.000363,0.000333,0.000309,0.000315,0.000292,0.000289,0.00026,0.000217,0.000267,0.000209
5,0.000828,0.000809,0.000666,0.000677,0.000706,0.000608,0.000551,0.000607,0.000528,0.000559,0.000579,0.000571,0.000544,0.000545,0.000547,0.000493,0.00047,0.000513,0.000468,0.000461,0.000446,0.000426,0.00045,0.000358,0.000436,0.000414,0.000344,0.000317,0.000311,0.000309,0.000301,0.000336,0.000306,0.000299,0.00025,0.000273,0.000258,0.000207,0.000238,0.000224,0.000222,0.000231,0.000154
6,0.000727,0.000721,0.000591,0.000574,0.000559,0.000532,0.000549,0.000485,0.00051,0.000487,0.000499,0.000512,0.000424,0.00048,0.000469,0.000468,0.000388,0.000432,0.000451,0.000406,0.000434,0.000404,0.000399,0.000455,0.0004,0.000357,0.000295,0.000342,0.000314,0.000264,0.000325,0.00031,0.00028,0.000261,0.000246,0.000244,0.000232,0.000256,0.000244,0.000231,0.000228,0.000206,0.000178
7,0.000666,0.000721,0.000501,0.000512,0.000537,0.000482,0.000472,0.000443,0.00046,0.000451,0.000512,0.000444,0.00049,0.000486,0.000425,0.00044,0.000369,0.00046,0.000419,0.000457,0.000365,0.000385,0.000396,0.000387,0.000428,0.000318,0.00035,0.000283,0.000297,0.000279,0.000276,0.000262,0.000241,0.000214,0.000236,0.000248,0.00022,0.000222,0.000239,0.00022,0.000197,0.000205,0.000184
8,0.000564,0.000635,0.00052,0.00052,0.000475,0.000461,0.000421,0.000408,0.000409,0.000413,0.000396,0.000419,0.000415,0.000441,0.000428,0.000378,0.000327,0.000387,0.000378,0.000387,0.000427,0.000365,0.000435,0.000394,0.000361,0.000315,0.000282,0.000294,0.000284,0.000243,0.000272,0.000302,0.000276,0.0003,0.000263,0.000216,0.000248,0.000227,0.000242,0.000218,0.000179,0.000188,0.000178
9,0.000525,0.000529,0.00048,0.000465,0.000419,0.000444,0.000387,0.000361,0.00039,0.000391,0.000367,0.000363,0.000373,0.000375,0.000402,0.000347,0.000321,0.000349,0.00033,0.000345,0.000395,0.00034,0.000309,0.000347,0.00037,0.000337,0.00032,0.000272,0.000269,0.000248,0.000234,0.000328,0.00026,0.000273,0.000217,0.000209,0.000222,0.000182,0.000188,0.000206,0.000185,0.000147,0.000156
10,0.000527,0.00055,0.000443,0.000484,0.000454,0.000421,0.00036,0.000324,0.000383,0.000354,0.000353,0.00031,0.000349,0.000372,0.000332,0.000386,0.000311,0.00034,0.000278,0.000332,0.000332,0.000316,0.000356,0.000306,0.000314,0.000309,0.000283,0.000288,0.000265,0.00022,0.00023,0.000258,0.00029,0.000274,0.000253,0.000245,0.000194,0.000199,0.000217,0.00017,0.000192,0.000199,0.000152
11,0.00049,0.000583,0.000449,0.000471,0.000435,0.000387,0.000399,0.000362,0.000335,0.000372,0.000349,0.000317,0.000332,0.000345,0.000299,0.000326,0.000262,0.00035,0.00026,0.000306,0.000306,0.00031,0.000274,0.000331,0.000297,0.000331,0.00029,0.000277,0.000228,0.000243,0.000202,0.000297,0.000224,0.000245,0.000231,0.000204,0.000204,0.000193,0.000174,0.0002,0.000213,0.000177,0.000178
12,0.000534,0.000531,0.000455,0.000475,0.000463,0.000424,0.000378,0.00033,0.000343,0.000358,0.000342,0.000334,0.000366,0.000371,0.000358,0.000341,0.000298,0.000305,0.000282,0.000305,0.000348,0.000329,0.000341,0.000312,0.000318,0.000307,0.000286,0.000263,0.000277,0.000248,0.000227,0.000267,0.000291,0.000269,0.000263,0.000215,0.000191,0.000209,0.000206,0.000199,0.000173,0.000173,0.000161
13,0.000561,0.00056,0.000452,0.000496,0.000496,0.000474,0.000414,0.000386,0.000365,0.00039,0.000377,0.000334,0.000378,0.000384,0.000357,0.000374,0.000308,0.000324,0.000343,0.000339,0.000328,0.000367,0.000279,0.000349,0.000354,0.000336,0.000316,0.000304,0.000282,0.000235,0.000282,0.000274,0.000284,0.000301,0.000245,0.000215,0.000221,0.000298,0.000237,0.000218,0.000218,0.000196,0.000215
14,0.00065,0.000633,0.000608,0.000571,0.000552,0.000562,0.000465,0.000461,0.000434,0.000413,0.000436,0.000446,0.000497,0.000407,0.000455,0.000366,0.000345,0.000433,0.00044,0.000368,0.000378,0.000428,0.000353,0.000372,0.000384,0.000349,0.000348,0.00032,0.000373,0.000326,0.000289,0.000321,0.000345,0.000373,0.000319,0.000291,0.000333,0.000297,0.000298,0.000301,0.000265,0.000279,0.000226
15,0.000717,0.000676,0.000659,0.000585,0.000626,0.00061,0.000531,0.000533,0.000559,0.00058,0.000501,0.000534,0.000465,0.000512,0.000464,0.000494,0.000462,0.00051,0.000548,0.000441,0.000463,0.000503,0.000452,0.000473,0.000481,0.000533,0.000429,0.00041,0.000404,0.00041,0.000383,0.000431,0.000427,0.000461,0.000404,0.00039,0.000411,0.000431,0.000391,0.000344,0.000399,0.000348,0.000303
16,0.000818,0.000833,0.000708,0.000643,0.000687,0.000628,0.000628,0.000555,0.000634,0.000566,0.000608,0.000557,0.000575,0.000623,0.000526,0.000557,0.000486,0.000587,0.000641,0.000523,0.000536,0.000596,0.000495,0.00061,0.000521,0.000592,0.000523,0.000457,0.000487,0.00045,0.000495,0.0005,0.000518,0.000501,0.000569,0.000552,0.000487,0.000519,0.000449,0.000472,0.000464,0.000525,0.000391
17,0.000883,0.000996,0.000765,0.00086,0.000803,0.000854,0.000714,0.000665,0.000732,0.000706,0.000697,0.000714,0.000695,0.000723,0.000667,0.00069,0.000601,0.000692,0.000722,0.000683,0.000664,0.000704,0.000666,0.000659,0.00071,0.000708,0.000649,0.000594,0.000631,0.000538,0.000575,0.000698,0.000753,0.000671,0.000709,0.000627,0.000708,0.000564,0.000626,0.000636,0.000608,0.000531,0.000584
18,0.001127,0.001067,0.000982,0.001066,0.000967,0.00092,0.000846,0.000792,0.000898,0.000802,0.000852,0.000898,0.000878,0.000924,0.000942,0.00086,0.000812,0.000843,0.000801,0.000863,0.000861,0.000802,0.000827,0.000926,0.000815,0.00091,0.000749,0.000813,0.000857,0.000794,0.000756,0.000877,0.000894,0.000943,0.000835,0.000753,0.000848,0.000782,0.00069,0.000761,0.000733,0.000729,0.000646
19,0.001306,0.001355,0.001182,0.001123,0.001271,0.001208,0.000934,0.000926,0.000948,0.001045,0.00104,0.001053,0.00099,0.001082,0.00102,0.001044,0.000936,0.000983,0.000892,0.001025,0.000978,0.000901,0.001049,0.001004,0.000978,0.000913,0.000924,0.000849,0.00082,0.000895,0.0009,0.000951,0.000898,0.000985,0.000951,0.000887,0.000914,0.000882,0.000817,0.000893,0.000819,0.000844,0.000681
20,0.001506,0.001415,0.001226,0.001362,0.001196,0.001272,0.001082,0.001043,0.001032,0.000977,0.001079,0.00109,0.001033,0.001093,0.001133,0.001012,0.000961,0.001029,0.000974,0.001092,0.001087,0.000999,0.001114,0.001017,0.000936,0.001051,0.000892,0.001017,0.000897,0.000812,0.00074,0.000978,0.00098,0.001065,0.000967,0.000834,0.000884,0.000796,0.000751,0.000833,0.00081,0.000793,0.000751
21,0.001514,0.001453,0.001303,0.001364,0.001276,0.001108,0.001101,0.001198,0.001112,0.001031,0.001124,0.001007,0.001074,0.00122,0.001077,0.001126,0.000966,0.001099,0.001054,0.001152,0.001138,0.001083,0.001072,0.001046,0.001054,0.000979,0.00086,0.000899,0.000888,0.000849,0.000849,0.00106,0.001019,0.001068,0.000986,0.00084,0.000922,0.000828,0.000849,0.000823,0.000825,0.000872,0.000816
22,0.001444,0.001491,0.001287,0.001361,0.001391,0.001355,0.001131,0.001119,0.001147,0.001085,0.001165,0.001146,0.001087,0.001118,0.00117,0.00109,0.000994,0.001161,0.001126,0.001175,0.001156,0.001165,0.001156,0.001079,0.001063,0.001056,0.000975,0.000945,0.001007,0.000928,0.000801,0.001115,0.001068,0.001124,0.000986,0.000894,0.000958,0.000888,0.000853,0.000916,0.000904,0.000887,0.000751
23,0.001443,0.00151,0.001328,0.001396,0.001397,0.001304,0.001272,0.001097,0.001121,0.001298,0.00127,0.001154,0.001145,0.001201,0.001143,0.001103,0.001058,0.001243,0.001169,0.001254,0.001171,0.001222,0.001221,0.001126,0.001184,0.001139,0.001062,0.00097,0.000928,0.000928,0.000975,0.00096,0.001049,0.001052,0.001032,0.000859,0.000831,0.000908,0.000843,0.000848,0.000873,0.000808,0.000827
24,0.001638,0.001578,0.001453,0.00145,0.0015,0.001361,0.001293,0.001253,0.001193,0.001156,0.00136,0.001203,0.001181,0.001234,0.001191,0.001153,0.001036,0.001187,0.001201,0.001204,0.001208,0.001269,0.001226,0.001136,0.001166,0.001186,0.001067,0.00103,0.000995,0.00097,0.000828,0.001031,0.001137,0.001146,0.001013,0.000934,0.000926,0.000873,0.000896,0.000853,0.000899,0.000955,0.000752
