Japan, Death rates (period 1x1), 	Last modified: 02 Apr 2020;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1947           0             0.083595        0.095448        0.089645
  1947           1             0.035643        0.037017        0.036341
  1947           2             0.017271        0.017203        0.017237
  1947           3             0.011227        0.011330        0.011279
  1947           4             0.007023        0.007468        0.007248
  1947           5             0.004830        0.005110        0.004972
  1947           6             0.003674        0.003932        0.003804
  1947           7             0.002873        0.003328        0.003103
  1947           8             0.002220        0.002497        0.002360
  1947           9             0.002017        0.002216        0.002118
  1947          10             0.001833        0.002004        0.001920
  1947          11             0.001698        0.001738        0.001718
  1947          12             0.001848        0.001731        0.001789
  1947          13             0.001898        0.001812        0.001855
  1947          14             0.002374        0.002049        0.002210
  1947          15             0.003222        0.002722        0.002970
  1947          16             0.003601        0.003171        0.003384
  1947          17             0.004492        0.004238        0.004365
  1947          18             0.005229        0.005412        0.005320
  1947          19             0.006316        0.006846        0.006580
  1947          20             0.006972        0.007565        0.007267
  1947          21             0.007344        0.008342        0.007831
  1947          22             0.007339        0.008767        0.008017
  1947          23             0.007797        0.009202        0.008440
  1947          24             0.007865        0.009179        0.008442
  1947          25             0.007584        0.009025        0.008205
  1947          26             0.007389        0.008952        0.008063
  1947          27             0.007172        0.008650        0.007819
  1947          28             0.007244        0.008342        0.007735
  1947          29             0.007286        0.008464        0.007818
  1947          30             0.007215        0.008079        0.007610
  1947          31             0.007013        0.007996        0.007464
  1947          32             0.007035        0.008495        0.007708
  1947          33             0.007073        0.008466        0.007720
  1947          34             0.006999        0.008341        0.007625
  1947          35             0.006947        0.008424        0.007638
  1947          36             0.007059        0.008436        0.007710
  1947          37             0.007194        0.008803        0.007964
  1947          38             0.007115        0.008750        0.007904
  1947          39             0.007509        0.008823        0.008152
  1947          40             0.007305        0.009052        0.008176
  1947          41             0.007881        0.009401        0.008645
  1947          42             0.008292        0.009707        0.009003
  1947          43             0.007926        0.010241        0.009093
  1947          44             0.008018        0.010798        0.009423
  1947          45             0.008236        0.011052        0.009664
  1947          46             0.008585        0.011545        0.010089
  1947          47             0.009064        0.012321        0.010720
  1947          48             0.009364        0.012972        0.011201
  1947          49             0.010615        0.014394        0.012545
  1947          50             0.011278        0.014582        0.012968
  1947          51             0.011701        0.016231        0.014018
  1947          52             0.012394        0.017454        0.014976
  1947          53             0.013169        0.019166        0.016214
  1947          54             0.013773        0.020369        0.017113
  1947          55             0.014306        0.021333        0.017848
  1947          56             0.015519        0.022908        0.019213
  1947          57             0.016950        0.026396        0.021642
  1947          58             0.018956        0.029374        0.024104
  1947          59             0.019489        0.029809        0.024547
  1947          60             0.023310        0.035632        0.029288
  1947          61             0.024293        0.036892        0.030323
  1947          62             0.026964        0.040991        0.033572
  1947          63             0.029186        0.044425        0.036239
  1947          64             0.031504        0.048686        0.039353
  1947          65             0.033887        0.053530        0.042791
  1947          66             0.037191        0.056943        0.046078
  1947          67             0.039613        0.062001        0.049580
  1947          68             0.044870        0.068059        0.055066
  1947          69             0.048484        0.071918        0.058666
  1947          70             0.055487        0.080889        0.066418
  1947          71             0.060744        0.084061        0.070635
  1947          72             0.063556        0.092304        0.075541
  1947          73             0.072398        0.101229        0.084220
  1947          74             0.077333        0.105644        0.088775
  1947          75             0.085983        0.117460        0.098581
  1947          76             0.092825        0.122525        0.104502
  1947          77             0.105464        0.137357        0.117718
  1947          78             0.119182        0.160125        0.134631
  1947          79             0.133852        0.170624        0.147475
  1947          80             0.143587        0.176566        0.155457
  1947          81             0.154590        0.197310        0.169523
  1947          82             0.171082        0.212534        0.185184
  1947          83             0.199846        0.233765        0.211295
  1947          84             0.192437        0.229506        0.204582
  1947          85             0.214084        0.267004        0.230870
  1947          86             0.236076        0.292058        0.253730
  1947          87             0.252448        0.313029        0.270983
  1947          88             0.275724        0.320943        0.289507
  1947          89             0.310434        0.342484        0.320118
  1947          90             0.340292        0.353786        0.344209
  1947          91             0.345278        0.422678        0.366820
  1947          92             0.385979        0.431805        0.398149
  1947          93             0.416107        0.454621        0.426569
  1947          94             0.411394        0.479488        0.430633
  1947          95             0.463656        0.573657        0.494923
  1947          96             0.473657        0.499410        0.480914
  1947          97             0.512099        0.500236        0.508685
  1947          98             0.682498        0.664403        0.676427
  1947          99             0.463789        1.020938        0.672245
  1947         100             0.434688        1.356118        0.720384
  1947         101             0.667259        0.500000        0.632050
  1947         102             0.461538        0.750000        0.552632
  1947         103             0.585366        1.500000        0.734694
  1947         104             1.090909        0.000000        0.857143
  1947         105             1.384615        1.000000        1.200000
  1947         106             0.857143        1.500000        1.200000
  1947         107             0.000000        0.750000        0.428571
  1947         108             0.000000              .        0.000000
  1947         109             0.857143        0.000000        0.600000
  1947         110+            0.800000        1.714286        1.090909
  1948           0             0.059305        0.068945        0.064235
  1948           1             0.018626        0.019414        0.019028
  1948           2             0.010297        0.010402        0.010350
  1948           3             0.006929        0.007251        0.007092
  1948           4             0.004846        0.005058        0.004953
  1948           5             0.003241        0.003590        0.003418
  1948           6             0.002494        0.002858        0.002678
  1948           7             0.002114        0.002499        0.002309
  1948           8             0.001789        0.002079        0.001935
  1948           9             0.001532        0.001764        0.001649
  1948          10             0.001456        0.001696        0.001577
  1948          11             0.001434        0.001445        0.001440
  1948          12             0.001444        0.001434        0.001439
  1948          13             0.001706        0.001462        0.001583
  1948          14             0.001874        0.001666        0.001769
  1948          15             0.002453        0.002036        0.002243
  1948          16             0.003018        0.002669        0.002842
  1948          17             0.003575        0.003338        0.003456
  1948          18             0.004167        0.004278        0.004222
  1948          19             0.005031        0.005338        0.005184
  1948          20             0.005950        0.006377        0.006163
  1948          21             0.006619        0.006905        0.006761
  1948          22             0.006904        0.007385        0.007139
  1948          23             0.007020        0.007987        0.007480
  1948          24             0.007135        0.008225        0.007635
  1948          25             0.007000        0.008164        0.007513
  1948          26             0.006744        0.007707        0.007161
  1948          27             0.006777        0.008025        0.007317
  1948          28             0.006514        0.007500        0.006947
  1948          29             0.006382        0.007666        0.006956
  1948          30             0.006293        0.007174        0.006692
  1948          31             0.006130        0.007233        0.006634
  1948          32             0.006175        0.007139        0.006619
  1948          33             0.006124        0.007375        0.006702
  1948          34             0.006161        0.007244        0.006665
  1948          35             0.006033        0.007158        0.006559
  1948          36             0.006456        0.007506        0.006948
  1948          37             0.006345        0.007353        0.006822
  1948          38             0.006438        0.007577        0.006984
  1948          39             0.006784        0.007731        0.007241
  1948          40             0.007033        0.007942        0.007478
  1948          41             0.006770        0.008138        0.007452
  1948          42             0.007000        0.008481        0.007744
  1948          43             0.007110        0.008845        0.007981
  1948          44             0.007425        0.009267        0.008353
  1948          45             0.007615        0.009780        0.008708
  1948          46             0.007976        0.009997        0.009000
  1948          47             0.008116        0.010355        0.009252
  1948          48             0.008634        0.011158        0.009915
  1948          49             0.009000        0.012048        0.010550
  1948          50             0.010081        0.013615        0.011883
  1948          51             0.010298        0.013544        0.011955
  1948          52             0.011725        0.015213        0.013503
  1948          53             0.011820        0.016392        0.014144
  1948          54             0.012626        0.017735        0.015213
  1948          55             0.013078        0.019004        0.016070
  1948          56             0.014476        0.019816        0.017158
  1948          57             0.015378        0.021701        0.018525
  1948          58             0.017550        0.025029        0.021247
  1948          59             0.017503        0.026899        0.022119
  1948          60             0.018947        0.028114        0.023421
  1948          61             0.021340        0.031847        0.026404
  1948          62             0.022570        0.034090        0.028043
  1948          63             0.025430        0.037408        0.031029
  1948          64             0.027733        0.040684        0.033682
  1948          65             0.029850        0.043841        0.036185
  1948          66             0.032648        0.046470        0.038860
  1948          67             0.036274        0.051977        0.043279
  1948          68             0.037831        0.055764        0.045737
  1948          69             0.043174        0.061360        0.051083
