Taiwan, Death rates (period 1x1), 	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1970           0             0.015509        0.017919        0.016750
  1970           1             0.004465        0.005076        0.004778
  1970           2             0.003064        0.003464        0.003269
  1970           3             0.001928        0.002169        0.002053
  1970           4             0.001189        0.001371        0.001283
  1970           5             0.000833        0.001030        0.000934
  1970           6             0.000599        0.000797        0.000700
  1970           7             0.000444        0.000629        0.000539
  1970           8             0.000353        0.000526        0.000442
  1970           9             0.000324        0.000468        0.000398
  1970          10             0.000349        0.000459        0.000406
  1970          11             0.000389        0.000498        0.000445
  1970          12             0.000443        0.000580        0.000513
  1970          13             0.000501        0.000680        0.000593
  1970          14             0.000556        0.000801        0.000682
  1970          15             0.000637        0.000984        0.000816
  1970          16             0.000710        0.001169        0.000946
  1970          17             0.000750        0.001290        0.001027
  1970          18             0.000749        0.001330        0.001047
  1970          19             0.000773        0.001424        0.001105
  1970          20             0.000817        0.001570        0.001199
  1970          21             0.000861        0.001676        0.001276
  1970          22             0.000943        0.001814        0.001392
  1970          23             0.001059        0.002058        0.001572
  1970          24             0.001196        0.002352        0.001784
  1970          25             0.001146        0.002247        0.001702
  1970          26             0.001073        0.002040        0.001562
  1970          27             0.001115        0.002042        0.001584
  1970          28             0.001184        0.002109        0.001649
  1970          29             0.001259        0.002157        0.001710
  1970          30             0.001373        0.002272        0.001823
  1970          31             0.001528        0.002472        0.002001
  1970          32             0.001658        0.002701        0.002178
  1970          33             0.001723        0.002867        0.002292
  1970          34             0.001735        0.002967        0.002348
  1970          35             0.001773        0.003057        0.002423
  1970          36             0.001894        0.003158        0.002559
  1970          37             0.001978        0.003271        0.002676
  1970          38             0.002036        0.003322        0.002748
  1970          39             0.002145        0.003374        0.002849
  1970          40             0.002325        0.003604        0.003073
  1970          41             0.002497        0.003939        0.003344
  1970          42             0.002700        0.004228        0.003608
  1970          43             0.002960        0.004579        0.003933
  1970          44             0.003205        0.004976        0.004274
  1970          45             0.003556        0.005527        0.004748
  1970          46             0.003906        0.006325        0.005345
  1970          47             0.004090        0.006895        0.005727
  1970          48             0.004244        0.007099        0.005906
  1970          49             0.004824        0.007695        0.006515
  1970          50             0.005764        0.008938        0.007638
  1970          51             0.006380        0.010065        0.008525
  1970          52             0.006561        0.010851        0.008999
  1970          53             0.007045        0.011623        0.009647
  1970          54             0.007902        0.012718        0.010674
  1970          55             0.008219        0.013548        0.011265
  1970          56             0.008565        0.014351        0.011841
  1970          57             0.009392        0.014886        0.012552
  1970          58             0.010309        0.017033        0.014057
  1970          59             0.011799        0.021305        0.016795
  1970          60             0.013877        0.023472        0.018973
  1970          61             0.016330        0.026983        0.021951
  1970          62             0.018733        0.030101        0.024720
  1970          63             0.020357        0.032011        0.026476
  1970          64             0.022062        0.035110        0.028791
  1970          65             0.024547        0.038641        0.031764
  1970          66             0.028085        0.044463        0.036322
  1970          67             0.029442        0.047460        0.038256
  1970          68             0.031614        0.050645        0.040749
  1970          69             0.035540        0.055986        0.045190
  1970          70             0.039530        0.063042        0.050244
  1970          71             0.041965        0.067639        0.053261
  1970          72             0.047115        0.070783        0.057632
  1970          73             0.062100        0.081541        0.071127
  1970          74             0.065812        0.087853        0.075643
  1970          75             0.066319        0.095966        0.078517
  1970          76             0.075285        0.106676        0.087929
  1970          77             0.074959        0.111661        0.088863
  1970          78             0.078840        0.123776        0.094860
  1970          79             0.092643        0.129808        0.106568
  1970          80             0.106036        0.137104        0.117691
  1970          81             0.112569        0.142939        0.123660
  1970          82             0.119989        0.147716        0.129917
