,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
1,0.027293,0.026030,0.025850,0.025878,0.024316,0.023881,0.022860,0.020115,0.019257,0.018591,0.018421,0.018700,0.019494,0.018249,0.016856,0.015854,0.014871,0.014829,0.014644,0.014012,0.013141,0.011965,0.011105,0.011191,0.010572,0.008952,0.009454,0.008991,0.006912,0.007328,0.007826,0.006352,0.007218,0.006478,0.006307,0.006105,0.006092,0.006302,0.005784,0.006702,0.006430,0.005405,0.005382,0.005240,0.004519,0.004472,0.004077,0.004687,0.003981,0.003848,0.004466,0.004235,0.004202,0.004096,0.003709,0.003697,0.003985,0.003942,0.003778,0.003818,0.004178,0.003537,0.003771,0.003490,0.003536,0.003367,0.003788,0.003153,0.003173
2,0.003046,0.002946,0.002538,0.002046,0.002098,0.002710,0.001961,0.002253,0.001762,0.001817,0.001585,0.001274,0.002016,0.001463,0.001497,0.001273,0.001809,0.001128,0.001222,0.001337,0.000912,0.001069,0.001000,0.000863,0.001070,0.000615,0.000808,0.000658,0.000810,0.000734,0.000614,0.000998,0.000504,0.000749,0.000970,0.000648,0.000690,0.000519,0.000653,0.000476,0.000488,0.000650,0.000684,0.000810,0.000436,0.000373,0.000275,0.000475,0.000353,0.000388,0.000314,0.000437,0.000256,0.000229,0.000571,0.000256,0.000337,0.000451,0.000083,0.000322,0.000132,0.000128,0.000151,0.000151,0.000199,0.000316,0.000095,0.000188,0.000327
3,0.001674,0.001691,0.001441,0.001601,0.001536,0.001430,0.000838,0.001166,0.000716,0.001285,0.001514,0.000882,0.000908,0.000727,0.000785,0.000691,0.000706,0.000791,0.000832,0.000699,0.000570,0.000769,0.000712,0.000506,0.000599,0.000567,0.000730,0.000354,0.000718,0.000490,0.000351,0.000175,0.000313,0.000309,0.000530,0.000530,0.000566,0.000388,0.000247,0.000219,0.000238,0.000612,0.000297,0.000290,0.000426,0.000169,0.000348,0.000151,0.000226,0.000177,0.000181,0.000186,0.000083,0.000254,0.000170,0.000085,0.000085,0.000139,0.000139,0.000164,0.000185,0.000182,0.000051,0.000099,0.000025,0.000123,0.000120,0.000047,0.000186
4,0.001234,0.001283,0.000951,0.001063,0.000997,0.000879,0.000937,0.000816,0.000904,0.000818,0.000779,0.000939,0.000626,0.000837,0.000662,0.000744,0.000514,0.000673,0.000724,0.000645,0.000680,0.000653,0.000585,0.000477,0.000442,0.000696,0.000450,0.000236,0.000381,0.000343,0.000258,0.000494,0.000232,0.000397,0.000336,0.000250,0.000389,0.000366,0.000302,0.000273,0.000217,0.000130,0.000075,0.000416,0.000144,0.000070,0.000288,0.000249,0.000075,0.000251,0.000126,0.000130,0.000294,0.000027,0.000196,0.000085,0.000141,0.000028,0.000138,0.000082,0.000054,0.000156,0.000129,0.000075,0.000148,0.000074,0.000122,0.000096,0.000024
5,0.001007,0.000893,0.000963,0.000631,0.000936,0.000796,0.000527,0.000865,0.000771,0.000591,0.000410,0.000773,0.000725,0.000666,0.000702,0.000534,0.000786,0.000536,0.000543,0.000501,0.000530,0.000602,0.000410,0.000607,0.000521,0.000289,0.000164,0.000378,0.000289,0.000353,0.000286,0.000257,0.000289,0.000201,0.000169,0.000222,0.000249,0.000193,0.000167,0.000136,0.000270,0.000266,0.000077,0.000149,0.000194,0.000119,0.000117,0.000096,0.000150,0.000126,0.000075,0.000254,0.000210,0.000212,0.000082,0.000139,0.000112,0.000056,0.000056,0.000054,0.000081,0.000053,0.000052,0.000077,0.000124,0.000049,0.000073,0.000097,0.000166
6,0.000566,0.000862,0.000796,0.000893,0.000659,0.000521,0.000476,0.000430,0.000297,0.000397,0.000416,0.000764,0.000694,0.000674,0.000420,0.000526,0.000534,0.000663,0.000479,0.000352,0.000444,0.000590,0.000383,0.000267,0.000502,0.000436,0.000271,0.000285,0.000355,0.000447,0.000298,0.000395,0.000198,0.000257,0.000314,0.000307,0.000193,0.000082,0.000190,0.000137,0.000134,0.000210,0.000104,0.000202,0.000025,0.000120,0.000142,0.000165,0.000145,0.000050,0.000076,0.000025,0.000102,0.000104,0.000079,0.000081,0.000139,0.000140,0.000138,0.000082,0.000108,0.000027,0.000026,0.000077,0.000025,0.000025,0.000024,0.000049,0.000024
7,0.000627,0.000639,0.000525,0.000554,0.000481,0.000462,0.000544,0.000400,0.000581,0.000520,0.000423,0.000414,0.000542,0.000597,0.000269,0.000441,0.000503,0.000491,0.000580,0.000481,0.000449,0.000329,0.000514,0.000485,0.000185,0.000401,0.000268,0.000437,0.000409,0.000306,0.000211,0.000244,0.000169,0.000367,0.000114,0.000200,0.000111,0.000027,0.000190,0.000189,0.000081,0.000211,0.000078,0.000231,0.000150,0.000146,0.000120,0.000143,0.000071,0.000097,0.000175,0.000076,0.000226,0.000025,0.000156,0.000184,0.000054,0.000110,0.000083,0.000164,0.000108,0.000133,0.000053,0.000026,0.000051,0.000175,0.000097,0.000072,0.000048
8,0.000570,0.000500,0.000514,0.000571,0.000408,0.000288,0.000437,0.000618,0.000350,0.000555,0.000273,0.000345,0.000359,0.000420,0.000411,0.000335,0.000331,0.000218,0.000426,0.000290,0.000540,0.000411,0.000389,0.000438,0.000446,0.000269,0.000150,0.000340,0.000232,0.000242,0.000153,0.000238,0.000244,0.000197,0.000141,0.000143,0.000142,0.000250,0.000191,0.000081,0.000107,0.000107,0.000156,0.000102,0.000102,0.000124,0.000049,0.000048,0.000119,0.000117,0.000072,0.000100,0.000100,0.000075,0.000101,0.000103,0.000078,0.000027,0.000000,0.000055,0.000000,0.000027,0.000185,0.000105,0.000077,0.000050,0.000000,0.000048,0.000095
9,0.000557,0.000647,0.000374,0.000391,0.000475,0.000359,0.000527,0.000315,0.000197,0.000400,0.000354,0.000269,0.000362,0.000284,0.000325,0.000228,0.000424,0.000308,0.000305,0.000362,0.000228,0.000301,0.000353,0.000156,0.000179,0.000224,0.000314,0.000238,0.000227,0.000140,0.000194,0.000153,0.000369,0.000189,0.000113,0.000113,0.000086,0.000085,0.000083,0.000054,0.000187,0.000159,0.000186,0.000180,0.000152,0.000101,0.000099,0.000146,0.000024,0.000119,0.000023,0.000192,0.000000,0.000100,0.000100,0.000025,0.000051,0.000078,0.000053,0.000081,0.000027,0.000134,0.000107,0.000052,0.000026,0.000051,0.000050,0.000049,0.000048
10,0.000376,0.000473,0.000361,0.000423,0.000414,0.000402,0.000215,0.000382,0.000363,0.000370,0.000225,0.000297,0.000166,0.000309,0.000235,0.000162,0.000228,0.000267,0.000241,0.000217,0.000382,0.000456,0.000301,0.000196,0.000272,0.000260,0.000226,0.000337,0.000130,0.000136,0.000186,0.000169,0.000102,0.000184,0.000162,0.000310,0.000141,0.000426,0.000113,0.000246,0.000295,0.000132,0.000210,0.000105,0.000051,0.000176,0.000151,0.000099,0.000073,0.000095,0.000047,0.000023,0.000095,0.000074,0.000173,0.000025,0.000150,0.000051,0.000051,0.000105,0.000080,0.000107,0.000080,0.000053,0.000026,0.000077,0.000101,0.000049,0.000097
